origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"141","1",7.1023312,1007.2955785,2.4901629,1016.8880726
"141","3",7.1023312,208.7388111,3.4647261,219.3058684
"141","16",7.1023312,1289.1333944,2.6653095,1298.9010350
"141","4",7.1023312,947.6746512,0.4822301,955.2592125
"141","10",7.1023312,1009.7003278,2.9794628,1019.7821218
"141","9",7.1023312,1953.1030177,2.8057399,1963.0110888
"141","12",7.1023312,1953.1030177,2.8057399,1963.0110888
"141","6",7.1023312,1027.8962104,0.6805221,1035.6790637
"141","8",7.1023312,1272.8138029,3.8251580,1283.7412920
"141","5",7.1023312,1051.2191306,5.3872645,1063.7087263
"141","7",7.1023312,738.0724963,1.3512963,746.5261238
"141","15",7.1023312,883.7361806,2.9353627,893.7738745
"141","2",7.1023312,1055.9607091,2.3642810,1065.4273212
"142","1",0.0099999,1043.7343354,2.4901629,1046.2344983
"142","3",0.0099999,321.5648373,3.4647261,325.0395633
"142","16",0.0099999,1401.1144585,2.6653095,1403.7897679
"142","4",0.0099999,1064.7413355,0.4822301,1065.2335656
"142","10",0.0099999,1126.7670121,2.9794628,1129.7564748
"142","9",0.0099999,2070.1697021,2.8057399,2072.9854418
"142","12",0.0099999,2070.1697021,2.8057399,2072.9854418
"142","6",0.0099999,996.4334799,0.6805221,997.1240019
"142","8",0.0099999,1245.8432838,3.8251580,1249.6784417
"142","5",0.0099999,1168.2858150,5.3872645,1173.6830794
"142","7",0.0099999,855.1391807,1.3512963,856.5004769
"142","15",0.0099999,766.6694963,2.9353627,769.6148588
"142","2",0.0099999,1142.0870121,2.3642810,1144.4612930
"143","1",0.5709790,925.8401207,2.4901629,928.9012626
"143","3",0.5709790,444.1968369,3.4647261,448.2325419
"143","16",0.5709790,1283.2202438,2.6653095,1286.4565322
"143","4",0.5709790,1112.0265080,0.4822301,1113.0797171
"143","10",0.5709790,1174.0521846,2.9794628,1177.6026264
"143","9",0.5709790,2146.4979131,2.8057399,2149.8746320
"143","12",0.5709790,2146.4979131,2.8057399,2149.8746320
"143","6",0.5709790,878.5392652,0.6805221,879.7907663
"143","8",0.5709790,1127.9490691,3.8251580,1132.3452061
"143","5",0.5709790,1244.6140260,5.3872645,1250.5722695
"143","7",0.5709790,922.5349759,1.3512963,924.4572512
"143","15",0.5709790,648.7752816,2.9353627,652.2816232
"143","2",0.5709790,1024.1927974,2.3642810,1027.1280573
"144","1",6.2680063,979.1851871,2.4901629,987.9433563
"144","3",6.2680063,551.5368385,3.4647261,561.2695708
"144","16",6.2680063,1336.5653102,2.6653095,1345.4986260
"144","4",6.2680063,1222.7126174,0.4822301,1229.4628538
"144","10",6.2680063,1284.7382940,2.9794628,1293.9857631
"144","9",6.2680063,2258.3583383,2.8057399,2267.4320845
"144","12",6.2680063,2258.3583383,2.8057399,2267.4320845
"144","6",6.2680063,931.8843316,0.6805221,938.8328600
"144","8",6.2680063,1181.2941355,3.8251580,1191.3872998
"144","5",6.2680063,1356.4744513,5.3872645,1368.1297220
"144","7",6.2680063,1033.2850745,1.3512963,1040.9043771
"144","15",6.2680063,536.6974951,2.9353627,545.9008640
"144","2",6.2680063,1077.5378638,2.3642810,1086.1701510
"145","1",3.8200100,1072.5950451,2.4901629,1078.9052180
"145","3",3.8200100,667.2216404,3.4647261,674.5063764
"145","16",3.8200100,1429.9751681,2.6653095,1436.4604876
"145","4",3.8200100,1339.7390962,0.4822301,1344.0413363
"145","10",3.8200100,1401.7647728,2.9794628,1408.5642456
"145","9",3.8200100,2374.2605015,2.8057399,2380.8862514
"145","12",3.8200100,2374.2605015,2.8057399,2380.8862514
"145","6",3.8200100,1025.2941895,0.6805221,1029.7947216
"145","8",3.8200100,1265.5090910,3.8251580,1273.1542589
"145","5",3.8200100,1472.3766144,5.3872645,1481.5838889
"145","7",3.8200100,1150.2975643,1.3512963,1155.4688706
"145","15",3.8200100,457.7504070,2.9353627,464.5057796
"145","2",3.8200100,1170.9477218,2.3642810,1177.1320127
"146","1",2.8711262,1135.1230391,2.4901629,1140.4843282
"146","3",2.8711262,805.9611754,3.4647261,812.2970276
"146","16",2.8711262,1492.5031621,2.6653095,1498.0395978
"146","4",2.8711262,1478.4786312,0.4822301,1481.8319875
"146","10",2.8711262,1540.5043078,2.9794628,1546.3548967
"146","9",2.8711262,2513.0000365,2.8057399,2518.6769025
"146","12",2.8711262,2513.0000365,2.8057399,2518.6769025
"146","6",2.8711262,1061.6469592,0.6805221,1065.1986075
"146","8",2.8711262,1278.9596485,3.8251580,1285.6559326
"146","5",2.8711262,1611.1161494,5.3872645,1619.3745401
"146","7",2.8711262,1289.0370993,1.3512963,1293.2595218
"146","15",2.8711262,337.3357924,2.9353627,343.1422812
"146","2",2.8711262,1233.4757157,2.3642810,1238.7111229
"147","1",0.3572111,1210.1201855,2.4901629,1212.9675594
"147","3",0.3572111,920.6247204,3.4647261,924.4466575
"147","16",0.3572111,1567.5003085,2.6653095,1570.5228291
"147","4",0.3572111,1593.1421762,0.4822301,1593.9816174
"147","10",0.3572111,1655.1678528,2.9794628,1658.5045267
"147","9",0.3572111,2627.6635815,2.8057399,2630.8265324
"147","12",0.3572111,2627.6635815,2.8057399,2630.8265324
"147","6",0.3572111,1136.6441056,0.6805221,1137.6818388
"147","8",0.3572111,1353.9567949,3.8251580,1358.1391639
"147","5",0.3572111,1725.7796944,5.3872645,1731.5241700
"147","7",0.3572111,1403.7006443,1.3512963,1405.4091517
